IRC,FULLBRANDNAME,GenericCode,LicenseOwnerCompanyName,LicenseOwnerCompanyNationalId,PackageCount,GTIN,ErxCode,Action
9154715040124503,ACA TABLET ORAL 162.5 mg/32.5 mg/325 mg,1,البرز دارو,10861412626,100,06260152410148,60000,
6634773526419774,AXAR TABLET ORAL 162.5 mg/32.5 mg/325 mg,1,داروسازی تولید دارو,10102901102,100,06260803001756,60001,
5038533984593944,AXAR TABLET ORAL 162.5 mg/32.5 mg/325 mg,1,داروسازی تولید دارو,10102901102,100,06260803061262,60001,
1364308469059629,ACA TABLET ORAL 162.5 mg/32.5 mg/325 mg,1,البرز دارو,10861412626,100,06260152418298,60000,
2429540119375092,A.C.A TABLET ORAL 162.5 mg/32.5 mg/325 mg,1,داروسازی ابوریحان,10100402567,30,06260164603903,60000,
2201864145379184,"PEDIAMEX SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,لابراتوار های دنیای بهداشت,10100935871,1,06260168971169,73895,New
6686289223847622,"TYLANOL SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,صنعتی کیمیدارو,10861824398,1,06260182910564,60005,
6223932191899378,"ACETAMINOPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,لابراتوارهای شهردارو,10100384423,1,06260195226973,60002,
6566983637875220,"ACETAMINOPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,نیک آسا فارمد,14007542840,1,06269410401218,60002,
2924576222502406,"ACETAMINOPHEN BEHSA SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,دارو سازی بهسا,10780030571,1,06260157637953,60002,
6088773567226096,"AMIPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,داروسازی امین,10260063258,1,06260154967718,60004,
8401654023976169,"ACETAMINOPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,داروسازی تولید دارو,10102901102,1,06260803063013,60002,
3868553147279002,"MEGAFEN KIDS SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,کیش مدیفارم,10861529740,1,06260509303994,72485,
7613120767909126,"ACETAMINOPHEN NIXADA SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,نیک سامان دارو,10320856721,1,06266644400178,60002,
8532915562531692,"ACETAMINOPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,کارخانجات دارو پخش,10101823437,1,06260132432269,60002,
1154523743424806,"TYLANOL SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,صنعتی کیمیدارو,10861824398,1,06260182902316,60005,
4695127481614344,"BEHESTAMOL SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,داروسازی بهستان,10102853854,1,06260782102895,73708,
8020632375683064,"ACETAGROPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,دارویی و نهاده های زاگرس دارو پارسیان,10102439004,1,06262209101160,60003,
2562528964897772,"ACETAMINOPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,لابراتوارهای شهردارو,10100384423,1,06260195224085,60002,
9576548097302236,"VELOTYL SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,داروسازی خوارزمی,10100378232,1,06260160270239,60006,
3678619768097965,"VELOTYL SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,داروسازی خوارزمی,10100378232,1,06260160201936,60006,
9682480876400839,"AMIPHEN SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,داروسازی امین,10260063258,1,06260154903228,60004,
4750417683244334,"ACETAMINOPHEN-HAKIM SOLUTION, DROPS ORAL 100 mg/1mL 15 mL",3,دارو سازی حکیم,10100359861,1,06260155802766,60002,
