IRC,ATCCode,FullEnBrandName,LicenseOwnerName,LicenseOwnerNationalCode,ErxCode,PackageCount,GTIN,ACTION
7244191137640241,,ACTIVEIN CAPSULE ORAL,گیاهان سبز زندگی,10101908439,90013,30,6260465200573,Old
4399394161838396,,ACTIVEIN CAPSULE ORAL,گیاهان سبز زندگی,10101908439,90013,50,6260465240203,Old
8662354409258898,,AGNUGOL FC TABLET ORAL,گل دارو,10100931371,90026,30,6260232350180,Old
5868006740520117,,AGNUGOL FC TABLET ORAL,گل دارو,10100931371,90026,100,6260232301298,New
6169143074846003,,AGNUMAN CAPSULE ORAL,رحمان گستران,10102774240,90027,30,6263604600302,Old
5892406439070978,,AGNUMAN CAPSULE ORAL,رحمان گستران,10102774240,90027,30,6263604600128,Old
5486895779836632,,ALLERGFORT TABLET ORAL,نیک اختر آریا,10102769746,90042,60,6267554301043,Old
3323518140187197,,ALLERGFORT TABLET ORAL,نیک اختر آریا,10102769746,90042,30,6267554301036,Old
2845030517607105,,AMI-SILYMARIN TABLET ORAL 70 mg,داروسازی امین,10260063258,90060,1,6260154920362,Old
2635996084550537,,ANADERM TABLET ORAL,سلامت پرمون امین,10103809610,90062,60,6262617100090,Old
4333593339636407,,ANADERM TABLET ORAL,سلامت پرمون امین,10103809610,90062,60,6262617100342,Old
5126107574837525,,ANAHEAL CAPSULE ORAL,سلامت پرمون امین,10103809610,90063,30,6262617100014,Old
7860085587582513,,ANAHEAL CAPSULE ORAL,سلامت پرمون امین,10103809610,90063,30,6262617100304,Old
3441375647363027,,ANAHEAL CAPSULE ORAL,سلامت پرمون امین,10103809610,90063,30,06262617100380,New
9678964267010209,,ANAHEALTH-BDA CAPSULE ORAL,بهتا دارو آفرینش,14004003293,90065,30,6263041500166,Old
7641075828351097,,ANAHEALTH-BDA CAPSULE ORAL,بهتا دارو آفرینش,14004003293,90065,30,6263041500463,Old
5993124715620574,,ANETHUM TABLET ORAL,ایران داروک,10100876173,90071,100,6260503200015,Old
1920494909741632,,ANGIPARS CAPSULE ORAL,زیست اروند فارمد,10860384628,90072,30,6262849300046,Old
5219455553491697,,ANTYDIA HAKIM TEJARAT SAHAND CAPSULE ORAL,حکیم تجارت سهند,14004367430,90084,30,6263543700064,Old
2280439932882796,,APHRODIT FC TABLET ORAL,گل دارو,10100931371,90086,30,6260232350104,Old
5943602219734548,,APHRODIT FC TABLET ORAL,گل دارو,10100931371,90086,30,6260232301304,New
7815354826761819,,AQUAFLOW TABLET ORAL,نیک اختر آریا,10102769746,90089,30,6267554301197,Old
6132123181007415,,AQUAFLOW TABLET ORAL,نیک اختر آریا,10102769746,90089,60,6267554301203,Old
7844576261904871,,ARAM ALOEVERA CAPSULE ORAL,داروسازی آرام دارو گستر,10103869353,90090,60,6265470187604,Old
1889416651600313,,ARAM TRIBULUS TERRESTRIS CAPSULE ORAL,داروسازی آرام دارو گستر,10103869353,90091,60,6265470155559,Old
7742337347936591,,ARTHO TEX CAPSULE ORAL,اکسیر گستر اسپادانا,10260684850,90100,60,6262814900127,Old
9026621178438916,,ARTHRODIN FC TABLET ORAL,مجتمع صنایع دینه ایران,10100825302,90104,50,6260154700452,Old
2827620568070116,,ARTHRODIN FC TABLET ORAL,مجتمع صنایع دینه ایران,10100825302,90104,30,6260154700674,Old
1590942539667297,,ARTHROFEED CAPSULE ORAL,بهار پایا,10102134360,90105,15,6261638300052,Old
7549572648988826,,ARTHROHEAL CAPSULE ORAL,بهتا دارو آفرینش,14004003293,90107,30,6263041500371,Old
